صفر	
ایک
دو
تین	three
چار	four
5	پانچ	five
6	چھ	six
7	سات	seven
8	آٹھ	eight
9	نو	nine
10	دس	ten
11	گیارہ	eleven
12	بارہ	twelve
13	تیرہ	thirteen
14	چودہ	fourteen
15	پندرہ	fifteen
16	سولہ	sixteen
17	سترہ	seventeen
18	اٹھارہ	eighteen
19	انیس	nineteen
20	بیس	twenty
21	اکیس	twenty-one
22	بائیس	twenty-two
23	تئیس	twenty-three
24	چوبیس	twenty-four
25	پچیس	twenty-five
26	چھببیس	twenty-six
27	ستائیس	twenty-seven
28	اٹھائیس	twenty-eight
29	انتیس	twenty-nine
30	تیس	thirty
31	اکتیس	thirty-one
32	بتیس	thirty-two
33	تینتیس	thirty-three
34	چونتیس	thirty-four
35	پینتیس	thirty-five
36	چھتیس	thirty-six
37	سینتیس	thirty-seven
38	اڑتیس	thirty-eight
39	انتالیس	thirty-nine
40	چالیس	forty
41	اکتالیس	forty-one
42	بیالیس	forty-two
43	تینتالیس	forty-three
44	چوالیس	forty-four
45	پینتالیس	forty-five
46	چھیالیس	forty-six
47	سینتالیس	forty-seven
48	اڑتالیس	forty-eight
49	انچاس	forty-nine
50	پچاس	fifty
51	اکیاون	fifty-one
52	باون	fifty-two
53	ترپن	fifty-three
54	چون	fifty-four
55	پچپن	fifty-five
56	چھپن	fifty-six
57	ستاون	fifty-seven
58	اٹھاون	fifty-eight
59	انسٹھ	fifty-nine
60	ساٹھ	sixty
61	اکسٹھ	sixty-one
62	باسٹھ	sixty-two
63	ترسٹھ	sixty-three
64	چوسٹھ	sixty-four
65	پینسٹھ	sixty-five
66	چھیاسٹھ	sixty-six
67	سڑسٹھ	sixty-seven
68	اٹھسٹھ	sixty-eight
69	انہتر	sixty-nine
70	ستر	seventy
71	اکہتر	seventy-one
72	بہتر	seventy-two
73	تہتر	seventy-three
74	چوہتر	seventy-four
75	پچہتر	seventy-five
76	چھہتر	seventy-six
77	ستتر	seventy-seven
78	اٹھہتر	seventy-eight
79	اناسی	seventy-nine
80	اسی	eighty
81	اکیاسی	eighty-one
82	بیاسی	eighty-two
83	تراسی	eighty-three
84	چوراسی	eighty-four
85	پچاسی	eighty-five
86	چھیاسی	eighty-six
87	ستاسی	eighty-seven
88	اٹھاسی	eighty-eight
89	نواسی	eighty-nine
90	نوے	ninety
91	اکانوے	ninety-one
92	بانوے	ninety-two
93	ترانوے	ninety-three
94	چورانوے	ninety-four
95	پچانوے	ninety-five
96	چھیانوے	ninety-six
97	ستانوے	ninety-seven
98	اٹھانوے	ninety-eight
99	ننانوے	ninety-nine
100	سو	
